Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023-06-08 17:20:57-05:30,24,others,once a month,clothing and fashion;others,no,rarely,keyword,first page,1,maybe,rarely,others,often,no,heavily,yes,sometimes,2,1,customer service,no issues,567877
2023-06-12 14:44:47-05:30,12,male,multiple times per week,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,no,few times per month,categories,first page,5,no,rarely,changed my mind or no longer need the item,often,yes,occasionally,yes,sometimes,5,3,competitive prices,no issues,313221
2023-06-09 14:39:16-05:30,14,not_preferred,few times per month,clothing and fashion;home and kitchen,no,multiple times a day,keyword,multiple pages,2,no,always,others,sometimes,yes,rarely,sometimes,yes,3,2,unknown,i have no problem with amazon yet. but others tell me about the refund issues,532959
2023-06-08 07:33:15-05:30,51,female,multiple times per week,beauty and personal care;clothing and fashion;others,no,multiple times a day,categories,first page,1,yes,sometimes,found a better price elsewhere,often,no,never,sometimes,sometimes,1,4,product recommendations,irrelevant product suggestions,310717
2023-06-11 23:01:04-05:30,46,male,multiple times per week,groceries and gourmet food;beauty and personal care;others,no,few times per month,keyword,first page,4,yes,often,found a better price elsewhere,rarely,no,rarely,yes,no,2,5,product recommendations,add more familiar brands to the list,661323
2023-06-08 03:30:19-05:30,21,male,less than once a month,beauty and personal care;others,no,few times per month,keyword,first page,4,no,rarely,found a better price elsewhere,always,no,occasionally,sometimes,no,1,3,user-friendly website/app interface,i have no problem with amazon yet. but others tell me about the refund issues,782815
2023-06-08 17:28:47-05:30,8,female,few times per month,groceries and gourmet food;home and kitchen,yes,rarely,keyword,first page,1,maybe,often,others,often,yes,heavily,yes,sometimes,5,1,product recommendations,product quality and accuracy,916370
2023-06-09 15:09:41-05:30,8,female,multiple times per week,home and kitchen,yes,multiple times a day,others,first page,4,yes,never,others,always,no,moderately,no,yes,4,4,wide product selection,customer service responsiveness,548662
2023-06-09 14:44:09-05:30,30,others,multiple times per week,beauty and personal care;clothing and fashion;home and kitchen;others,yes,rarely,others,multiple pages,2,yes,often,found a better price elsewhere,never,no,heavily,no,sometimes,4,3,unknown,irrelevant product suggestions,825564
2023-06-08 03:24:37-05:30,48,others,weekly,groceries and gourmet food;beauty and personal care,yes,few times per month,keyword,first page,2,no,often,changed my mind or no longer need the item,sometimes,no,never,yes,sometimes,5,5,competitive prices,quality of product is very poor according to the big offers,813377
2023-06-09 15:23:38-05:30,12,others,once a month,home and kitchen;others,sometimes,few times per month,filter,first page,1,maybe,rarely,high shipping costs,rarely,yes,heavily,yes,sometimes,1,1,user-friendly website/app interface,reducing packaging waste,150483
2023-06-06 18:51:13-05:30,41,male,few times per month,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,sometimes,rarely,filter,multiple pages,1,yes,never,found a better price elsewhere,always,no,heavily,sometimes,sometimes,2,1,user-friendly website/app interface,scrolling option would be much better than going to next page,172670
2023-06-05 14:16:16-05:30,4,not_preferred,less than once a month,beauty and personal care;home and kitchen;others,yes,multiple times a day,keyword,multiple pages,2,yes,sometimes,high shipping costs,never,yes,moderately,sometimes,yes,1,2,customer service,unknown,330972
2023-06-11 22:44:01-05:30,5,others,multiple times per week,groceries and gourmet food;beauty and personal care;clothing and fashion,sometimes,few times per week,others,first page,3,yes,often,others,never,yes,never,sometimes,yes,4,4,customer service,better app interface and lower shipping charges,966111
2023-06-08 03:23:36-05:30,31,female,once a month,groceries and gourmet food;clothing and fashion;others,yes,multiple times a day,others,multiple pages,2,maybe,always,found a better price elsewhere,often,no,heavily,no,yes,2,4,product recommendations,better app interface and lower shipping charges,143839
2023-06-09 16:32:56-05:30,36,others,multiple times per week,others,sometimes,few times per month,keyword,multiple pages,2,yes,rarely,others,sometimes,yes,rarely,sometimes,sometimes,5,5,product recommendations,no issues,842094
2023-06-08 18:01:33-05:30,26,not_preferred,multiple times per week,beauty and personal care;home and kitchen,yes,multiple times a day,others,multiple pages,1,maybe,sometimes,found a better price elsewhere,rarely,yes,never,no,no,1,3,product recommendations,scrolling option would be much better than going to next page,568206
2023-06-12 15:33:53-05:30,7,female,weekly,beauty and personal care;clothing and fashion,sometimes,rarely,keyword,first page,5,no,rarely,high shipping costs,rarely,no,never,yes,sometimes,4,5,user-friendly website/app interface,irrelevant product suggestions,351479
2023-06-06 19:46:27-05:30,35,female,weekly,groceries and gourmet food,sometimes,few times per month,keyword,first page,4,no,never,others,never,no,rarely,sometimes,no,5,3,wide product selection,add more familiar brands to the list,248643
2023-06-08 17:19:41-05:30,48,female,multiple times per week,beauty and personal care,yes,rarely,filter,multiple pages,1,no,sometimes,others,never,no,occasionally,no,yes,1,1,all the above,no issues,582161
2023-06-09 09:33:35-05:30,7,male,once a month,groceries and gourmet food;beauty and personal care,sometimes,few times per month,categories,first page,5,no,sometimes,high shipping costs,always,no,heavily,yes,yes,4,4,all the above,irrelevant product suggestions,197466
2023-06-09 15:07:36-05:30,63,others,multiple times per week,groceries and gourmet food;clothing and fashion;home and kitchen,sometimes,rarely,filter,first page,3,yes,never,others,sometimes,yes,rarely,yes,yes,1,5,quick delivery,user interface,659200
2023-06-11 23:04:55-05:30,5,male,less than once a month,others,yes,multiple times a day,keyword,multiple pages,4,no,always,high shipping costs,never,yes,rarely,no,no,3,5,competitive prices,no issues,560612
2023-06-04 21:10:51-05:30,17,others,few times per month,groceries and gourmet food;beauty and personal care;home and kitchen,no,rarely,keyword,first page,4,maybe,rarely,high shipping costs,never,no,occasionally,no,sometimes,4,5,all the above,better app interface and lower shipping charges,597128
